created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 23:57:55 +0000 2023;1724215045146792175;"Melanie Martinez gets emotional delivering her concluding speech from the “PORTALS Tour” in Manchester, UK in support of preventing the genocide happening in Palestine. https://t.co/2CbZWjTJht";13;5;125;831;en;1162790843440173056;1724215045146792175;CBNation_twt;https://twitter.com/CBNation_twt/status/1724215045146792175
Mon Nov 13 23:55:23 +0000 2023;1724214404697178206;"Israel’s lies debunked  Beheaded babies: debunked   Burned babies in ovens: debunked   Held hostages in hospital basement: debunked   NYT photographer was a Hamas member: debunked   Hamas overran Al Shifa hospital: debunked   The lies goes on to manufacture consent for genocide";5;20;316;752;en;19912781;1724214404697178206;Remroum;https://twitter.com/Remroum/status/1724214404697178206
Mon Nov 13 23:46:57 +0000 2023;1724212285311435068;"@jacksonhinklle 🚨🇺🇲🇮🇱Genocide Joe Biden said it himself in 1986 about Israel:   “It is the best $3 billion investment we make. Were there not an Israel the United States of America would have to invent an Israel to protect her interests in the region.”  https://t.co/OeVqXrCjFV";24;32;218;446;en;714733270181814276;1724211977986142627;iZwbair;https://twitter.com/iZwbair/status/1724212285311435068
Mon Nov 13 23:40:06 +0000 2023;1724210559854219602;"There is a cult of moral bean counting that jnsists clear cut situations are immensely complex because every util must been tabulated or whatever. Strip away everything and we are arguing about apartheid &amp  genocide. About a ceasefire &amp  ending an occupation.";1;4;54;360;en;1135622396;1724210559854219602;bigblackjacobin;https://twitter.com/bigblackjacobin/status/1724210559854219602
Mon Nov 13 23:30:37 +0000 2023;1724208175002337423;"For the second day in a row, the White House has refused to answer whether Israel is committing war crimes.  Its argument is absurd. Politicians, like individuals, are required to ask the question, "am I breaking the law,"  before doing something like, say, funding a genocide. https://t.co/ow8ezcIKzV";3;20;128;239;en;976948534053343233;1724208175002337423;Andre__Damon;https://twitter.com/Andre__Damon/status/1724208175002337423
Mon Nov 13 23:29:55 +0000 2023;1724207998724145490;"Hundreds of students from Marc Garneau CI walked out AGAIN to demand a ceasefire, an end to Israel's genocide, and to protest the #TDSB's silence.  Students blocked major intersections &amp  walked through their community with lots of support ❤️ 🇵🇸  #Onted #CeasefireInGazaNOW  #Gaza https://t.co/0wcCHcIvvY";5;0;100;251;en;282796557;1724207998724145490;XjusticeXpeace;https://twitter.com/XjusticeXpeace/status/1724207998724145490
Mon Nov 13 23:29:27 +0000 2023;1724207878935076911;"@lust4taylana melanie has used her platform to spread awareness of the genocide happening in palestine and to show support towards palestine. melanie DOES NOT support zionists and never followed noah schnapp. stop spreading false info. https://t.co/R5HoOuNaFF";0;3;24;261;en;1258544782890029056;1724079071158476874;melspurgatory;https://twitter.com/melspurgatory/status/1724207878935076911
Mon Nov 13 23:19:25 +0000 2023;1724205354475778199;"Man, Al Jazeera's reporting is so incredible lately. In the midst of the genocide, they haven't forgotten disabled people, they know that their stories are important too.";3;6;1635;3053;en;104051410;1724205354475778199;karaschlegl;https://twitter.com/karaschlegl/status/1724205354475778199
Mon Nov 13 23:15:06 +0000 2023;1724204269685854601;"Texas organizers estimate that 50,000 people took part in a statewide action for Palestine, the largest since Israel's genocide in Gaza began. https://t.co/Oj2m0jFYew";59;46;1310;3574;en;1217207858435186689;1724204269685854601;BTnewsroom;https://twitter.com/BTnewsroom/status/1724204269685854601
Mon Nov 13 23:11:08 +0000 2023;1724203269419835619;"@TheREALeataTREE @hannahcrileyy protecting your identity when protesting in a state with militarized police that just passed out RICOs to people organizing against cop city is not unreasonable.Worry about educating yourself on Canada’s colonial violence &amp  genocide instead of acting tough on Twitter https://t.co/8YyBubNhbL";0;1;2;183;en;925866613303398400;1724184581501247933;botanybastard;https://twitter.com/botanybastard/status/1724203269419835619
Mon Nov 13 23:10:23 +0000 2023;1724203082328764813;"Biden is pushing for $14.3 billion from Congress to expand the Israeli government's slaughter of the children of Gaza instead of using those taxpayer dollars to save the endangered children of America. STOP THE GENOCIDE TAX! -R https://t.co/OKl7VYHVcl";15;42;381;913;en;77314692;1724203082328764813;RalphNader;https://twitter.com/RalphNader/status/1724203082328764813
Mon Nov 13 23:09:51 +0000 2023;1724202946647224405;"I am very worried about Arab and Muslim students. They are watching a genocide unfold while their countries either cheer it on or do nothing. While most professors are lovely and supportive, many lack understanding and empathy. If I'm struggling I know they are. It hurts.";3;1;58;276;en;1575631656;1724202946647224405;SEltantawi;https://twitter.com/SEltantawi/status/1724202946647224405
Mon Nov 13 23:08:33 +0000 2023;1724202622108725537;"Ok then @piersmorgan. Is Israel committing a genocide in Gaza? Yes or no?";7;81;274;1305;en;234925810;1724202622108725537;Majstar7;https://twitter.com/Majstar7/status/1724202622108725537
Mon Nov 13 23:07:48 +0000 2023;1724202432568189232;"Anybody would think it was Jeremy Corbyn who committed war crimes &amp  killed thousands of innocent Palestinian men, women &amp  children  That would be @Israel @IDF Go and shout at them for a change, you genocide denying shill #GazaGenocide";2;11;74;188;en;1190933596921638912;1724202432568189232;earthygirl011;https://twitter.com/earthygirl011/status/1724202432568189232
Mon Nov 13 23:04:39 +0000 2023;1724201640075444584;"Genocide experts are not. Legal scholars are not. We are not.";4;3;1423;5026;en;1170357682802429955;1724201640075444584;Prof_FSultana;https://twitter.com/Prof_FSultana/status/1724201640075444584
Mon Nov 13 23:02:31 +0000 2023;1724201102613311573;"Without hyperbole, decrying genocide is now openly considered “hate speech” and neither my entire life’s experience nor any dystopian writings from Orwell, Huxley, or Vonnegut, could possibly have prepared me for that. It’s grotesque and surreal. 😖";3;29;164;399;en;17924753;1724201102613311573;mousdrvr;https://twitter.com/mousdrvr/status/1724201102613311573
Mon Nov 13 22:58:41 +0000 2023;1724200137948622904;"Imagine being a spokesman defending genocide? What kind of human does this?  Why don't they send the Red Cross to Al-Shifa hospital? And show the world these "Hamas HQ's"?  Because it's nothing but lies. Lies endlessly repeated by corrupt corp media. And heartless US officials.";3;13;85;167;en;4869905412;1724200137948622904;berningman16;https://twitter.com/berningman16/status/1724200137948622904
Mon Nov 13 22:55:29 +0000 2023;1724199334038696141;"One of the biggest problems with the concept of genocide is that it remains poorly under-theorized in relation to Indigeneity. It's bad enough that most people think it simply means mass murder but so many of the terms prefigure its application to Indigenous contexts in a bad way";2;7;72;183;en;1047898380322701312;1724199334038696141;TheAgentNDN;https://twitter.com/TheAgentNDN/status/1724199334038696141
Mon Nov 13 22:52:14 +0000 2023;1724198515490926688;"Canada's banks: investing in genocide https://t.co/SjfXabNMjK";33;27;986;2167;en;124246212;1724198515490926688;michael_deforge;https://twitter.com/michael_deforge/status/1724198515490926688
