id,text,category
1957032051,@princess_oats this is happening to me too,neutral
1957032127,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk",neutral
1957032228,@xoshayzers i knoww  things won't be the samee &lt;/3,sadness
1957032539,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",worry
1957033043,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,happiness
1957033103,"Okay, so twitter suddenly changed, how do I respond to messages now",worry
1957033219,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,neutral
1957033558,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,worry
1957033776,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
1957033815,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,neutral
1957033901,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,worry
1957034202,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,sadness
1957034434,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips",neutral
1957034566,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,sadness
1957034940,@sillybabyjulie me too,neutral
1957034983,@digenis that story reminds of living in Portugal,neutral
1957035419,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?",neutral
1957035564,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happiness
1957036183,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,neutral
1957037405,@MyDailyRoutine yeahhh. &amp;dont judge my pillow,neutral
1957038324,my teeth and head hurts,sadness
1957038398,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sadness
1957038477,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!,worry
1957038763,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover,worry
1957038970,I need to be held...  Gnite.,worry
1957039203,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",worry
1957039456,no more arrested development. i am sad.,sadness
1957039841,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night",neutral
1957039894,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,sadness
1957039922,I feel so deflated. No more doggy.,sadness
