"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Mon Dec 11 11:50:15 +0000 2023","1734178781903085771","OMG ERIGO BERKEDOK GRESHAN TV https://t.co/g5kf9qq3dh","0","2","35","286","in","1587183333548560384","1734178781903085771","beutedegre","https://twitter.com/beutedegre/status/1734178781903085771","https://pbs.twimg.com/ext_tw_video_thumb/1734177450064805888/pu/img/ideU-_l2FbRt4Be1.jpg",""
"Tue Dec 12 12:05:29 +0000 2023","1734545003681325125","GEMES BGT INI DUA ASTAGAAA 🫶 @Ashelytic @FloRisenID @S_AshelJKT48 @S_FloraJKT48  Makasih erigo buat livenya 😁🫶 @erigostore https://t.co/ztuM3gAmJ1","0","1","66","317","in","1069813576972427264","1734545003681325125","JakOjakkk","https://twitter.com/JakOjakkk/status/1734545003681325125","https://pbs.twimg.com/ext_tw_video_thumb/1734544951793598464/pu/img/Vd3OP82TYDNXbA-P.jpg","Bandung"
"Sun Dec 10 15:29:07 +0000 2023","1733871473755107437","hi!! nanti tanggal 12 desember aku dan ka chika bakal live erigo lohh spesial edisi 12.12 hanya di shopee😎 don’t miss it!🧡","6","127","161","8527","in","1057844081315897344","1733871473755107437","C_JessiJKT48","https://twitter.com/C_JessiJKT48/status/1733871473755107437","","Jakarta, Indonesia"
"Tue Dec 12 14:13:04 +0000 2023","1734577110055023095","Jadi setelah live erigo Zee cat rambut lagi https://t.co/td6ucKNcSu","1","4","45","488","in","1493012581484986372","1734577110055023095","NagaGiny","https://twitter.com/NagaGiny/status/1734577110055023095","https://pbs.twimg.com/media/GBJ0ryfbwAAREeN.jpg",""
"Mon Dec 11 08:52:13 +0000 2023","1734133976196067559","besok live erigo bersama adwel jam 7 yakz","3","206","150","9125","in","1222076115566522368","1734133976196067559","I_KathrinaJKT48","https://twitter.com/I_KathrinaJKT48/status/1734133976196067559","","Indonesia"
"Tue Dec 12 15:25:09 +0000 2023","1734595249027313844","seruu bgt erigo live hari ini  @erigostore jangan lupain akuh ya😜","45","489","392","12684","in","1222024629511811072","1734595249027313844","S_AshelJKT48","https://twitter.com/S_AshelJKT48/status/1734595249027313844","","Jakarta Capital Region"
"Sat Dec 09 14:03:59 +0000 2023","1733487660411621466","Bisa2nya Freya pake maskara saat lagi berlayar di laut  pdhl gelombang cukup parah loh 🌊.  Yg lain pasti terheran2 lihat kelakukannya. Hingga admin Erigo dan Zee merekam video 😅.  Btw kok bisa Freya tidak mabuk laut saat itu? 🤔 *penasaran. Sumber: video by Zee https://t.co/nQCP3XIQHQ","3","6","74","639","in","1175806953496309762","1733487660411621466","fatimahrah11","https://twitter.com/fatimahrah11/status/1733487660411621466","https://pbs.twimg.com/ext_tw_video_thumb/1733487597027303424/pu/img/SiSUzXSgxaW7v24m.jpg","Indonesia"
"Tue Dec 12 14:20:00 +0000 2023","1734578854193172624","siapa mau? baju erigo gracia vol.5 ukuran M (tanpa pp)  buat yg dateng dan nonton konser aja. buat yg mau rt+komen apa aja terserah ntar gw dm satu orang yg beruntung di tgl 16 nanti. goodluck guys🫶🏻 https://t.co/D2rShzUviB","0","77","82","106","in","1534907611849826304","1734578854193172624","dersimaulida","https://twitter.com/dersimaulida/status/1734578854193172624","https://pbs.twimg.com/media/GBJ2RbXbcAAIl9J.jpg","Jawa Timur, Indonesia"
"Wed Dec 13 03:43:53 +0000 2023","1734781157047435774","Special #FloRabu  Edisi belum move on dari live erigo kemarin🐰💚 https://t.co/7Q6DyDpooF","0","0","18","219","in","1654459967179726853","1734781157047435774","Marvandaaa","https://twitter.com/Marvandaaa/status/1734781157047435774","https://pbs.twimg.com/media/GBMuRJJbcAAIjtr.jpg","Dunia Flora"
"Wed Dec 06 04:11:14 +0000 2023","1732251328205001107","Wts PP erigo and lanyard kebun binatang https://t.co/FCirudfIG0","0","0","6","17","in","1615627310367137798","1732251328205001107","dullsumbang","https://twitter.com/dullsumbang/status/1732251328205001107","https://pbs.twimg.com/media/GAoxZNVasAELZRy.jpg",""
"Sat Dec 09 06:04:13 +0000 2023","1733366922199408655","makasih min Erigo atas effort nya 😃🙏🏻","0","1","18","805","in","1140124343462051841","1733366922199408655","onielity_ofc","https://twitter.com/onielity_ofc/status/1733366922199408655","","Hati dan Senyuman Oniel"
"Sun Dec 10 14:18:41 +0000 2023","1733853747191886104","Yeaaay besok ke Erigo lagii! See you di livee 12.12 shopee  aku bareng asheeel. Jangan kelewatan yaa  jam 15:00! 🫶","17","274","288","10550","in","1130447123319681024","1733853747191886104","S_FloraJKT48","https://twitter.com/S_FloraJKT48/status/1733853747191886104","","Jakarta Capital Region"
