"created_at,""id_str"",""full_text"",""quote_count"",""reply_count"",""retweet_count"",""favorite_count"",""lang"",""user_id_str"",""conversation_id_str"",""username"",""tweet_url"",""image_url"",""location""";;;
"Fri Dec 08 23:58:59 +0000 2023,""1733275009232286182"",""Chenle basketan pake kaos item  pake kalung 🫠🫠  Bangh udh banh ga semwa orang kuad 😩 nct! https://t.co/2vLevyTlaP"",""57"",""35"",""685"",""4531"",""in"",""1275010241017462784"",""1733275009232286182"",""nct_menfess"",""https://twitter.com/nct_menfess/status/1733275009232286182"",""https://pbs.twimg.com/ext_tw_video_thumb/1733174976621264896/pu/img/HoF5hHedkAWqVPm6.jpg"",""RULES""";;;
"Wed Dec 13 07:14:16 +0000 2023,""1734834104359854119"",""Pakai kaos nya  badok nasi nya.. Abaikan Paslon nya.. https://t.co/sRu7df3KPn"",""172"",""228"",""951"",""2437"",""in"",""1589754038324977667"",""1734834104359854119"",""descha05"",""https://twitter.com/descha05/status/1734834104359854119"",""https://pbs.twimg.com/ext_tw_video_thumb/1734834076396470272/pu/img/7LFqrZIO6_Q4cSCA.jpg"",""""";;;
"Sat Dec 09 06:35:38 +0000 2023,""1733374827963224573"",""Keberlanjutan...lempar2 kaos  hiks😬 https://t.co/H8F1OPUWdE"",""54"",""157"",""594"",""252"",""in"",""116673112"",""1733374827963224573"",""rahmatsn"",""https://twitter.com/rahmatsn/status/1733374827963224573"",""https://pbs.twimg.com/ext_tw_video_thumb/1733351986647781376/pu/img/MHDdnCTCs_oji4JA.jpg"",""Mandailing Natal, Sumatera Uta""";;;
"Mon Dec 11 08:39:29 +0000 2023,""1734130772242735428"",""Tanyarl kaos putih polos tuh warna apa ya? https://t.co/qpvP5NOnkC"",""114"",""209"",""421"",""7781"",""in"",""1371650588"",""1734130772242735428"",""tanyarlfes"",""https://twitter.com/tanyarlfes/status/1734130772242735428"",""https://pbs.twimg.com/media/GBDevxxbcAA2ZEB.jpg"",""Indonesia""";;;
"Sun Dec 10 03:30:03 +0000 2023,""1733690513965142022"",""Cirebon Emang Luar Biasa...!!!   Datang dg diberi kaos ❌ Datang dg diberi amplop ❌ Datang dg diberi sembako ❌ Datang dg diberi susu ❌ Tp dtg krn inginkan PERUBAHAN ✅  #AniesMuhaimin2024 #AMINAjaDulu https://t.co/ROBGESSKuA"",""33"",""55"",""1402"",""3406"",""in"",""1132425764622675969"",""1733690513965142022"",""BangPino__"",""https://twitter.com/BangPino__/status/1733690513965142022"",""https://pbs.twimg.com/ext_tw_video_thumb/1733690234112753664/pu/img/NS6XbRRsiQtDc4sc.jpg"",""London, England""";;;
"Sun Dec 10 14:13:24 +0000 2023,""1733852418323128328"",""Proses Kaos #GasssGanjarMahfud https://t.co/B8K8pV8YAc"",""1"",""35"",""62"",""384"",""in"",""1394912376814665730"",""1733852418323128328"",""BangPakat"",""https://twitter.com/BangPakat/status/1733852418323128328"",""https://pbs.twimg.com/media/GA_hlQjaQAAEne1.jpg"",""PALANGKARAYA""";;;
"Thu Dec 14 01:01:06 +0000 2023,""1735102579938574537"",""Alhamdulillah kaos sdh sampai di pangandaran tdk tahu nama desa nya 🫰 berbagi kaos yang kwalitas  bagus. Untuk relawan #PrabowoGibran .  Mohon maaf yg tdk kebagian 🙏  yg utama #PrabowoGibran2024  menang Aamiin https://t.co/IexjYP7Lif"",""3"",""20"",""18"",""71"",""in"",""1695192728173187072"",""1735102579938574537"",""drReUtari08"",""https://twitter.com/drReUtari08/status/1735102579938574537"",""https://pbs.twimg.com/ext_tw_video_thumb/1735102550704259072/pu/img/PSLDs87GqWqjFe9r.jpg"",""""";;;
"Sun Dec 10 11:17:52 +0000 2023,""1733808242193539398"",""KAOS CIKAR     KAOS CIKAR KANKA BEN ARKANDAYIM https://t.co/OlNG98pjuB"",""7"",""5"",""78"",""5472"",""in"",""727169606796873730"",""1733808242193539398"",""kyyrria"",""https://twitter.com/kyyrria/status/1733808242193539398"",""https://pbs.twimg.com/media/GA-5Z2eXIAAEn9I.jpg"",""istanbul""";;;
"Mon Dec 11 06:57:32 +0000 2023,""1734105115307749424"",""🎀 PRE-ORDER MERCH ADEKK!  yeay sebentar lagi tahun baru! nah  untuk memperingati tahun baru  kita punya merchandise kaos adek satwa nih buat kamuu~  kaya biasa  buat yang kepo sama harganya  bisa reply 'MAU' nanti kita bisikin lewat DM :)  cuma tersedia 200 pcs~ yuk reply! https://t.co/6vWggvriGG"",""10"",""89"",""785"",""848"",""in"",""933490676385189888"",""1734105115307749424"",""jellypastaa"",""https://twitter.com/jellypastaa/status/1734105115307749424"",""https://pbs.twimg.com/media/GBDHX9pacAAy_ob.jpg"",""Jakarta Capital Region""";;;
"Wed Dec 06 20:11:29 +0000 2023,""1732492982643810544"",""KAOS | https://t.co/NMKgGgOM8I https://t.co/P5yuzAivsV"",""7"",""2"",""49"",""129"",""in"",""1105324077743509507"",""1732492982643810544"",""theblackonion__"",""https://twitter.com/theblackonion__/status/1732492982643810544"",""https://pbs.twimg.com/media/GAsNLy7XIAAkVEO.jpg"",""Greensboro, NC""";;;
